feature,coefficient,absolute_coefficient
categorical__PULocationID_181,-0.02073163737932689,0.02073163737932689
categorical__pickup_dayofweek_3,-0.020231629491679386,0.020231629491679386
categorical__pickup_hour_6,-0.018551528299441754,0.018551528299441754
numeric__is_jfk_early,0.01400593051103475,0.01400593051103475
numeric__tolls_amount,-0.012932435479992324,0.012932435479992324
categorical__DOLocationID_195,0.01208352712954685,0.01208352712954685
categorical__pickup_hour_3,-0.012011851499648538,0.012011851499648538
numeric__duration_min,0.01004373301265795,0.01004373301265795
categorical__PULocationID_71,-0.007864776601415921,0.007864776601415921
categorical__pickup_dayofweek_1,-0.006752769457424759,0.006752769457424759
categorical__PULocationID_77,-0.005900563648065507,0.005900563648065507
categorical__DOLocationID_152,0.005791357432737983,0.005791357432737983
categorical__pickup_hour_17,-0.005468813474624389,0.005468813474624389
categorical__PULocationID_95,-0.003281036729324344,0.003281036729324344
categorical__PULocationID_70,-0.0027001150816063565,0.0027001150816063565
categorical__PULocationID_76,-0.0007117113539707329,0.0007117113539707329
